"","oa_name","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","count","OA","hierarchical8"
"1","E00000007",0.413793103448276,0,0.482758620689655,0,0.0344827586206897,0,0.0689655172413793,29,"E00000007",1
"2","E00000013",0.5,0,0.5,0,0,0,0,2,"E00000013",1
"3","E00000019",0.333333333333333,0,0.666666666666667,0,0,0,0,3,"E00000019",2
"4","E00000021",0.529411764705882,0,0.470588235294118,0,0,0,0,17,"E00000021",1
"5","E00000023",0,0,1,0,0,0,0,1,"E00000023",2
"6","E00000024",0.512605042016807,0.0168067226890756,0.403361344537815,0,0,0.0504201680672269,0.0168067226890756,119,"E00000024",1
"7","E00000025",0.305970149253731,0,0.522388059701492,0,0.00746268656716418,0.0149253731343284,0.149253731343284,134,"E00000025",1
"8","E00000026",0.425,0.00833333333333333,0.466666666666667,0,0,0.025,0.075,120,"E00000026",1
"9","E00000027",0.479166666666667,0,0.4375,0,0,0.0208333333333333,0.0625,48,"E00000027",1
"10","E00000028",0.369230769230769,0,0.523076923076923,0.0153846153846154,0,0,0.0923076923076923,65,"E00000028",1
"11","E00000029",0.655172413793103,0.0229885057471264,0.241379310344828,0.0229885057471264,0.0114942528735632,0.0459770114942529,0,87,"E00000029",3
"12","E00000030",0.764705882352941,0,0.235294117647059,0,0,0,0,17,"E00000030",3
"13","E00000032",0,0,0.5,0.5,0,0,0,2,"E00000032",1
"14","E00000035",0.525139664804469,0.00558659217877095,0.363128491620112,0,0.0111731843575419,0.0111731843575419,0.0837988826815642,179,"E00000035",1
"15","E00000037",0.0434782608695652,0.0434782608695652,0.130434782608696,0.0434782608695652,0,0,0.739130434782609,23,"E00000037",4
"16","E00000038",0.0833333333333333,0,0,0.125,0,0,0.791666666666667,24,"E00000038",4
"17","E00000039",0,0.125,0.5,0.375,0,0,0,8,"E00000039",1
"18","E00000040",0,0.137931034482759,0,0.0344827586206897,0.103448275862069,0.655172413793103,0.0689655172413793,29,"E00000040",1
"19","E00000041",0.379310344827586,0,0.0689655172413793,0.275862068965517,0,0.206896551724138,0.0689655172413793,29,"E00000041",1
"20","E00000042",0.2,0.6,0,0,0,0.2,0,5,"E00000042",5
"21","E00000043",0,0,0,0.5,0,0.5,0,2,"E00000043",1
"22","E00000045",0,0,0.25,0.416666666666667,0,0.333333333333333,0,12,"E00000045",1
"23","E00000046",0,0,0.75,0.1875,0.0625,0,0,16,"E00000046",2
"24","E00000048",0,0,0.222222222222222,0,0,0.777777777777778,0,9,"E00000048",6
"25","E00000049",0,0,0.025,0.675,0,0,0.3,40,"E00000049",7
"26","E00000050",0.142857142857143,0.285714285714286,0.142857142857143,0,0,0.428571428571429,0,7,"E00000050",1
"27","E00000051",0,0,0,0.16,0,0,0.84,25,"E00000051",4
"28","E00000052",0.0256410256410256,0.205128205128205,0.0512820512820513,0.230769230769231,0.358974358974359,0.128205128205128,0,39,"E00000052",1
"29","E00000053",0,0,0.0303030303030303,0.606060606060606,0,0,0.363636363636364,33,"E00000053",1
"30","E00000054",0.0344827586206897,0,0,0.137931034482759,0,0,0.827586206896552,29,"E00000054",4
"31","E00000055",0,0,0.0869565217391304,0.58695652173913,0.0869565217391304,0.130434782608696,0.108695652173913,46,"E00000055",7
"32","E00000056",0.0147058823529412,0.0147058823529412,0.0441176470588235,0.0294117647058824,0.308823529411765,0.588235294117647,0,68,"E00000056",1
"33","E00000057",0,0.153846153846154,0.307692307692308,0,0.153846153846154,0.384615384615385,0,13,"E00000057",1
"34","E00000059",0,0,0,0.25,0,0.25,0.5,4,"E00000059",4
"35","E00000060",0,0,0.0714285714285714,0.785714285714286,0,0,0.142857142857143,14,"E00000060",7
"36","E00000061",0,0.166666666666667,0.203703703703704,0.0185185185185185,0.111111111111111,0.5,0,54,"E00000061",1
"37","E00000062",0.273684210526316,0.0631578947368421,0.0947368421052632,0.0631578947368421,0.147368421052632,0.357894736842105,0,95,"E00000062",1
"38","E00000063",0,0,0.208333333333333,0.0833333333333333,0,0,0.708333333333333,24,"E00000063",4
"39","E00000064",0.0476190476190476,0,0,0.238095238095238,0,0,0.714285714285714,21,"E00000064",4
"40","E00000065",0.0882352941176471,0,0.323529411764706,0.176470588235294,0,0.0588235294117647,0.352941176470588,34,"E00000065",2
"41","E00000066",0,0,0.0357142857142857,0,0,0,0.964285714285714,28,"E00000066",4
"42","E00000067",0,0,0.142857142857143,0.357142857142857,0.0714285714285714,0,0.428571428571429,14,"E00000067",1
"43","E00000068",0,0,0,0.0740740740740741,0,0.037037037037037,0.888888888888889,27,"E00000068",4
"44","E00000069",0,0,0.8,0,0,0.2,0,15,"E00000069",2
"45","E00000070",0,0.0188679245283019,0.0377358490566038,0.60377358490566,0,0.339622641509434,0,53,"E00000070",1
"46","E00000071",0,0,0,0.777777777777778,0,0.222222222222222,0,27,"E00000071",7
"47","E00000072",0,0,0,0.692307692307692,0,0.307692307692308,0,26,"E00000072",7
"48","E00000073",0,0,0,0.730769230769231,0,0.269230769230769,0,26,"E00000073",7
"49","E00000074",0,0.0476190476190476,0,0.761904761904762,0,0.19047619047619,0,21,"E00000074",7
"50","E00000075",0,0,0,0.774193548387097,0,0.225806451612903,0,31,"E00000075",7
"51","E00000076",0,0,0,0.8125,0,0.1875,0,16,"E00000076",7
"52","E00000077",0,0.0227272727272727,0.0454545454545455,0.431818181818182,0,0.5,0,44,"E00000077",1
"53","E00000078",0,0,0,0.666666666666667,0,0.333333333333333,0,36,"E00000078",7
"54","E00000079",0,0.0285714285714286,0.0285714285714286,0.685714285714286,0,0.257142857142857,0,35,"E00000079",7
"55","E00000080",0,0,0.0204081632653061,0.387755102040816,0.306122448979592,0.26530612244898,0.0204081632653061,49,"E00000080",1
"56","E00000081",0,0,0.0263157894736842,0.763157894736842,0,0.210526315789474,0,38,"E00000081",7
"57","E00000082",0,0.0294117647058824,0.0294117647058824,0.794117647058823,0,0.147058823529412,0,34,"E00000082",7
"58","E00000083",0,0,0.103448275862069,0.551724137931034,0,0.344827586206897,0,29,"E00000083",7
"59","E00000084",0,0.0454545454545455,0,0.681818181818182,0,0.272727272727273,0,22,"E00000084",7
"60","E00000085",0,0.0344827586206897,0.0344827586206897,0.586206896551724,0.0344827586206897,0.310344827586207,0,29,"E00000085",7
"61","E00000086",0,0,0,0.744186046511628,0,0.255813953488372,0,43,"E00000086",7
"62","E00000087",0,0,0,0.75,0,0.25,0,12,"E00000087",7
"63","E00000088",0,0,0.04,0.76,0,0.2,0,25,"E00000088",7
"64","E00000089",0,0,0,0.71875,0,0.28125,0,32,"E00000089",7
"65","E00000090",0.0277777777777778,0.0555555555555556,0,0.638888888888889,0,0.277777777777778,0,36,"E00000090",7
"66","E00000091",0,0.0277777777777778,0,0.805555555555556,0,0.166666666666667,0,36,"E00000091",7
"67","E00000092",0,0,0.0341880341880342,0.41025641025641,0.324786324786325,0.230769230769231,0,117,"E00000092",1
"68","E00000093",0.452380952380952,0.0714285714285714,0.0238095238095238,0.30952380952381,0,0.142857142857143,0,42,"E00000093",1
"69","E00000094",0,0,0.0238095238095238,0.714285714285714,0.0476190476190476,0.214285714285714,0,42,"E00000094",7
"70","E00000095",0,0,0.0303030303030303,0.848484848484849,0,0.121212121212121,0,33,"E00000095",7
"71","E00000096",0,0.0384615384615385,0.0769230769230769,0.615384615384615,0,0.230769230769231,0.0384615384615385,26,"E00000096",7
"72","E00000097",0,0.0238095238095238,0.0476190476190476,0.666666666666667,0.0476190476190476,0.214285714285714,0,42,"E00000097",7
"73","E00000098",0,0,0.2,0.6,0.0666666666666667,0,0.133333333333333,15,"E00000098",7
"74","E00000099",0,0,0.25,0,0.5,0.25,0,4,"E00000099",1
"75","E00000100",0.125,0,0,0.675,0.075,0.125,0,40,"E00000100",7
"76","E00000101",0,0.131578947368421,0,0.5,0,0.342105263157895,0.0263157894736842,38,"E00000101",1
"77","E00000102",0,0.166666666666667,0.0555555555555556,0.388888888888889,0,0.388888888888889,0,36,"E00000102",1
"78","E00000103",0,0.0952380952380952,0,0.714285714285714,0,0.19047619047619,0,21,"E00000103",7
"79","E00000104",0,0.163636363636364,0.0181818181818182,0.6,0.0545454545454545,0.163636363636364,0,55,"E00000104",7
"80","E00000106",0.0294117647058824,0,0.0882352941176471,0.441176470588235,0,0.117647058823529,0.323529411764706,34,"E00000106",1
"81","E00000107",0.0222222222222222,0.0444444444444444,0.0888888888888889,0.666666666666667,0,0.177777777777778,0,45,"E00000107",7
"82","E00000108",0,0,0.0512820512820513,0.846153846153846,0.0256410256410256,0.0769230769230769,0,39,"E00000108",7
"83","E00000109",0,0,0.05,0.75,0,0.2,0,20,"E00000109",7
"84","E00000110",0,0,0.0888888888888889,0.377777777777778,0,0.533333333333333,0,45,"E00000110",1
"85","E00000111",0,0,0.16,0.56,0,0.28,0,25,"E00000111",7
"86","E00000112",0,0.125,0,0.5,0.0416666666666667,0.333333333333333,0,24,"E00000112",1
"87","E00000113",0,0.03125,0,0.875,0,0.09375,0,32,"E00000113",7
"88","E00000114",0,0.0714285714285714,0.0357142857142857,0.714285714285714,0,0.178571428571429,0,28,"E00000114",7
"89","E00000115",0,0.0810810810810811,0,0.567567567567568,0,0.351351351351351,0,37,"E00000115",1
"90","E00000116",0,0.0227272727272727,0.0454545454545455,0.590909090909091,0,0.340909090909091,0,44,"E00000116",1
"91","E00000117",0.176470588235294,0,0,0.117647058823529,0.117647058823529,0.588235294117647,0,17,"E00000117",6
"92","E00000118",0,0,0.0416666666666667,0.583333333333333,0,0.375,0,24,"E00000118",1
"93","E00000119",0,0.136363636363636,0,0.5,0.0454545454545455,0.272727272727273,0.0454545454545455,22,"E00000119",1
"94","E00000120",0,0,0.0232558139534884,0.767441860465116,0,0.209302325581395,0,43,"E00000120",7
"95","E00000121",0.153846153846154,0,0.0384615384615385,0.461538461538462,0,0.346153846153846,0,26,"E00000121",1
"96","E00000122",0,0.0344827586206897,0.103448275862069,0.586206896551724,0,0.275862068965517,0,29,"E00000122",7
"97","E00000123",0,0.117647058823529,0.0294117647058824,0.558823529411765,0,0.294117647058824,0,34,"E00000123",7
"98","E00000124",0,0.136363636363636,0.0227272727272727,0.522727272727273,0,0.318181818181818,0,44,"E00000124",1
"99","E00000125",0,0.0789473684210526,0.0526315789473684,0.5,0,0.342105263157895,0.0263157894736842,38,"E00000125",1
"100","E00000126",0,0.0208333333333333,0.0833333333333333,0.229166666666667,0.0416666666666667,0.625,0,48,"E00000126",1
"101","E00000127",0.166666666666667,0,0.0555555555555556,0.472222222222222,0.0277777777777778,0.277777777777778,0,36,"E00000127",1
"102","E00000128",0,0,0,0.56,0,0.44,0,25,"E00000128",1
"103","E00000129",0,0.137931034482759,0,0.344827586206897,0,0.517241379310345,0,29,"E00000129",1
"104","E00000130",0,0.0357142857142857,0.142857142857143,0.607142857142857,0,0.214285714285714,0,28,"E00000130",7
"105","E00000131",0,0,0.0833333333333333,0.541666666666667,0.0833333333333333,0.291666666666667,0,24,"E00000131",7
"106","E00000132",0,0,0,0.80952380952381,0,0.19047619047619,0,21,"E00000132",7
"107","E00000133",0,0,0,0.733333333333333,0,0.266666666666667,0,15,"E00000133",7
"108","E00000134",0,0.0416666666666667,0.0833333333333333,0.75,0,0.125,0,24,"E00000134",7
"109","E00000135",0.0350877192982456,0,0.0175438596491228,0.596491228070175,0.0175438596491228,0.333333333333333,0,57,"E00000135",7
"110","E00000136",0,0,0.0689655172413793,0.551724137931034,0.0344827586206897,0.206896551724138,0.137931034482759,29,"E00000136",7
"111","E00000137",0,0.2,0.15,0.4,0.1,0.15,0,20,"E00000137",1
"112","E00000138",0.0444444444444444,0.111111111111111,0.0444444444444444,0.333333333333333,0,0.466666666666667,0,45,"E00000138",1
"113","E00000139",0,0.0545454545454545,0,0.472727272727273,0.0363636363636364,0.436363636363636,0,55,"E00000139",1
"114","E00000140",0,0.0212765957446809,0,0.340425531914894,0.170212765957447,0.468085106382979,0,47,"E00000140",1
"115","E00000141",0,0.0666666666666667,0,0,0.333333333333333,0.6,0,15,"E00000141",1
"116","E00000142",0,0,0,0.138888888888889,0.0972222222222222,0.763888888888889,0,72,"E00000142",6
"117","E00000143",0,0.0294117647058824,0,0.411764705882353,0.132352941176471,0.411764705882353,0.0147058823529412,68,"E00000143",1
"118","E00000144",0,0,0,0.74468085106383,0.0212765957446809,0.212765957446809,0.0212765957446809,47,"E00000144",7
"119","E00000145",0,0.0178571428571429,0,0.875,0,0.107142857142857,0,56,"E00000145",7
"120","E00000146",0,0,0,0.5,0.14,0.36,0,50,"E00000146",1
"121","E00000147",0,0,0,0.780487804878049,0,0.219512195121951,0,41,"E00000147",7
"122","E00000148",0,0,0,1,0,0,0,15,"E00000148",7
"123","E00000149",0,0.0285714285714286,0.0857142857142857,0.4,0.0857142857142857,0.0857142857142857,0.314285714285714,35,"E00000149",1
"124","E00000150",0,0.0303030303030303,0,0.757575757575758,0.0303030303030303,0.181818181818182,0,33,"E00000150",7
"125","E00000151",0,0,0,0.262068965517241,0.427586206896552,0.303448275862069,0.00689655172413793,145,"E00000151",1
"126","E00000152",0.0344827586206897,0,0,0.827586206896552,0,0.0344827586206897,0.103448275862069,29,"E00000152",7
"127","E00000153",0.0166666666666667,0,0.0666666666666667,0.683333333333333,0,0.133333333333333,0.1,60,"E00000153",7
"128","E00000154",0.222222222222222,0,0,0.466666666666667,0,0.0888888888888889,0.222222222222222,45,"E00000154",7
"129","E00000155",0.142857142857143,0,0.0476190476190476,0.428571428571429,0,0.285714285714286,0.0952380952380952,21,"E00000155",1
"130","E00000156",0,0,0,0.111538461538462,0.580769230769231,0.307692307692308,0,260,"E00000156",1
"131","E00000157",0,0.0222222222222222,0.0222222222222222,0.422222222222222,0.2,0.333333333333333,0,45,"E00000157",1
"132","E00000158",0,0.0277777777777778,0.0138888888888889,0.277777777777778,0.375,0.305555555555556,0,72,"E00000158",1
"133","E00000159",0,0.119047619047619,0.0714285714285714,0.285714285714286,0.142857142857143,0.380952380952381,0,42,"E00000159",1
